Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1961,1961,tonnes,1100,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1962,1962,tonnes,1100,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1963,1963,tonnes,1100,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,1100,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,1100,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,1500,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,10000,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,15000,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1969,1969,tonnes,17000,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1970,1970,tonnes,19400,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1971,1971,tonnes,20500,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1972,1972,tonnes,29110,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1973,1973,tonnes,24600,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1974,1974,tonnes,33900,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1975,1975,tonnes,36384,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1976,1976,tonnes,44236,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1977,1977,tonnes,54226,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1978,1978,tonnes,53669,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1979,1979,tonnes,49739,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1980,1980,tonnes,51126,,Official data
RA,Fertilizers archive,2,Afghanistan,5157,Consumption,1818,Total Fertilizers,1981,1981,tonnes,45711,,Official data
